model_version,as_of_bar_close,forecast_bar_start,forecast_bar_end,direction,entry,exit,gross_pips,spread_pips,net_pips,net_return_pct,cum_net_pips,cum_net_return_pct,outcome
h1dir-full-20260728-69349,2026-07-30 20:00:00,2026-07-30 20:00:00,2026-07-30 21:00:00,UP,1.15292,1.1535,5.800000000000249,1.5,4.300000000000249,0.037296603407003526,4.300000000000249,0.037296603407003526,WIN
h1dir-full-20260728-69349,2026-07-30 22:00:00,2026-07-30 22:00:00,2026-07-30 23:00:00,DOWN,1.15309,1.15266,4.299999999999304,1.5,2.7999999999993044,0.024282579850656107,7.099999999999554,0.06157918325765963,WIN
h1dir-full-20260728-69349,2026-07-31 15:00:00,2026-07-31 15:00:00,2026-07-31 16:00:00,UP,1.1488,1.14663,-21.700000000000053,1.5,-23.200000000000053,-0.20194986072423443,-16.1000000000005,-0.1403706774665748,LOSS
h1dir-full-20260728-69349,2026-07-31 17:00:00,2026-07-31 17:00:00,2026-07-31 18:00:00,DOWN,1.15042,1.15179,-13.700000000000934,1.5,-15.200000000000934,-0.132125658455181,-31.300000000001432,-0.2724963359217558,LOSS
h1dir-full-20260728-69349,2026-07-31 18:00:00,2026-07-31 18:00:00,2026-07-31 19:00:00,DOWN,1.15179,1.15168,1.100000000000545,1.5,-0.399999999999455,-0.003472855294797272,-31.700000000000887,-0.2759691912165531,LOSS
h1dir-full-20260728-69349,2026-07-31 19:00:00,2026-07-31 19:00:00,2026-07-31 20:00:00,DOWN,1.15168,1.15332,-16.399999999998638,1.5,-17.899999999998638,-0.15542511808834605,-49.599999999999525,-0.43139430930489914,LOSS
h1dir-full-20260728-69349,2026-07-31 20:00:00,2026-07-31 20:00:00,2026-07-31 21:00:00,UP,1.15332,1.15301,-3.0999999999981043,1.5,-4.599999999998104,-0.03988485416014727,-54.19999999999763,-0.4712791634650464,LOSS
h1dir-full-20260728-69349,2026-07-31 21:00:00,2026-07-31 21:00:00,2026-07-31 22:00:00,DOWN,1.15301,1.15309,-0.7999999999985796,1.5,-2.2999999999985796,-0.019947788830960524,-56.499999999996206,-0.49122695229600694,LOSS
h1dir-full-20260728-69349,2026-07-31 22:00:00,2026-07-31 22:00:00,2026-07-31 23:00:00,DOWN,1.15309,1.15273,3.5999999999991594,1.5,2.0999999999991594,0.018211934887989313,-54.39999999999705,-0.4730150174080176,WIN
h1dir-full-20260728-69349,2026-08-03 00:00:00,2026-08-03 00:00:00,2026-08-03 01:00:00,DOWN,1.15432,1.15479,-4.699999999999704,1.5,-6.199999999999704,-0.0537112759026934,-60.599999999996754,-0.526726293310711,LOSS
h1dir-full-20260728-69349,2026-08-03 06:00:00,2026-08-03 06:00:00,2026-08-03 07:00:00,DOWN,1.15295,1.15337,-4.20000000000087,1.5,-5.70000000000087,-0.04943839715513136,-66.29999999999762,-0.5761646904658424,LOSS
h1dir-full-20260728-69349,2026-08-03 11:00:00,2026-08-03 11:00:00,2026-08-03 12:00:00,UP,1.1522,1.15218,-0.1999999999990898,1.5,-1.6999999999990898,-0.014754382919624111,-67.99999999999672,-0.5909190733854665,LOSS
h1dir-full-20260728-69349,2026-08-03 12:00:00,2026-08-03 12:00:00,2026-08-03 13:00:00,DOWN,1.15218,1.15218,-0.0,1.5,-1.5,-0.013018799145966776,-69.49999999999672,-0.6039378725314333,LOSS
h1dir-full-20260728-69349,2026-08-03 13:00:00,2026-08-03 13:00:00,2026-08-03 14:00:00,DOWN,1.15218,1.1532,-10.200000000000209,1.5,-11.700000000000209,-0.10154663333854268,-81.19999999999692,-0.7054845058699759,LOSS
h1dir-full-20260728-69349,2026-08-03 14:00:00,2026-08-03 14:00:00,2026-08-03 15:00:00,DOWN,1.1532,1.15274,4.599999999999049,1.5,3.0999999999990493,0.026881720430099287,-78.09999999999788,-0.6786027854398766,WIN
h1dir-full-20260728-69349,2026-08-03 15:00:00,2026-08-03 15:00:00,2026-08-03 16:00:00,UP,1.15274,1.1525400000000001,-1.9999999999997797,1.5,-3.4999999999997797,-0.030362440793238542,-81.59999999999765,-0.7089652262331152,LOSS
h1dir-full-20260728-69349,2026-08-03 16:00:00,2026-08-03 16:00:00,2026-08-03 17:00:00,DOWN,1.15254,1.15135,11.899999999998023,1.5,10.399999999998023,0.09023547989655911,-71.19999999999963,-0.6187297463365561,WIN
h1dir-full-20260728-69349,2026-08-03 17:00:00,2026-08-03 17:00:00,2026-08-03 18:00:00,UP,1.15135,1.15088,-4.700000000001925,1.5,-6.200000000001925,-0.053849828462256694,-77.40000000000155,-0.6725795747988128,LOSS
h1dir-full-20260728-69349,2026-08-03 18:00:00,2026-08-03 18:00:00,2026-08-03 19:00:00,UP,1.15088,1.15062,-2.5999999999992696,1.5,-4.09999999999927,-0.03562491310996169,-81.50000000000082,-0.7082044879087744,LOSS
h1dir-full-20260728-69349,2026-08-03 19:00:00,2026-08-03 19:00:00,2026-08-03 20:00:00,UP,1.15062,1.15017,-4.500000000000615,1.5,-6.000000000000615,-0.052145799655843074,-87.50000000000144,-0.7603502875646175,LOSS
h1dir-full-20260728-69349,2026-08-03 21:00:00,2026-08-03 21:00:00,2026-08-03 22:00:00,DOWN,1.15133,1.15101,3.1999999999987594,1.5,1.6999999999987594,0.014765532036850942,-85.80000000000268,-0.7455847555277666,WIN
h1dir-full-20260728-69349,2026-08-03 22:00:00,2026-08-03 22:00:00,2026-08-03 23:00:00,DOWN,1.15101,1.15051,5.00000000000167,1.5,3.5000000000016698,0.030408076385102387,-82.300000000001,-0.7151766791426643,WIN
h1dir-full-20260728-69349,2026-08-04 06:00:00,2026-08-04 06:00:00,2026-08-04 07:00:00,DOWN,1.15077,1.15099,-2.1999999999988695,1.5,-3.6999999999988695,-0.032152384924866564,-85.99999999999989,-0.7473290640675307,LOSS
h1dir-full-20260728-69349,2026-08-04 07:00:00,2026-08-04 07:00:00,2026-08-04 08:00:00,DOWN,1.15099,1.15069,2.9999999999996696,1.5,1.4999999999996696,0.013032259185567814,-84.50000000000021,-0.7342968048819629,WIN
