as_of_date,forecasting_date,direction,entry,exit,gross_pips,spread_pips,net_pips,net_return_pct,cum_net_pips,cum_net_return_pct,outcome
2026-07-03,2026-07-06,SHORT,1.14281,1.14418,-13.7,1.5,-15.2,-0.133,-15.2,-0.133,loss
2026-07-06,2026-07-07,SHORT,1.14418,1.14039,37.9,1.5,36.4,0.3181,21.2,0.1851,win
2026-07-07,2026-07-08,SHORT,1.14039,1.1416,-12.1,1.5,-13.6,-0.1193,7.6,0.0658,loss
2026-07-08,2026-07-09,SHORT,1.1416,1.14264,-10.4,1.5,-11.9,-0.1042,-4.3,-0.0384,loss
2026-07-09,2026-07-10,SHORT,1.14264,1.1412,14.4,1.5,12.9,0.1129,8.6,0.0745,win
2026-07-10,2026-07-13,SHORT,1.1412,1.13792,32.8,1.5,31.3,0.2743,39.9,0.3488,win
2026-07-13,2026-07-14,SHORT,1.13792,1.14192,-40.0,1.5,-41.5,-0.3647,-1.6,-0.0159,loss
2026-07-14,2026-07-15,SHORT,1.14192,1.14612,-42.0,1.5,-43.5,-0.3809,-45.1,-0.3968,loss
2026-07-15,2026-07-16,SHORT,1.14612,1.14427,18.5,1.5,17.0,0.1483,-28.1,-0.2485,win
2026-07-16,2026-07-17,SHORT,1.14427,1.14367,6.0,1.5,4.5,0.0393,-23.6,-0.2092,win
2026-07-17,2026-07-20,SHORT,1.14367,1.14116,25.1,1.5,23.6,0.2064,0.0,-0.0028,win
2026-07-20,2026-07-21,FLAT,1.14116,1.13975,-0.0,0.0,-0.0,-0.0,0.0,-0.0028,flat
2026-07-21,2026-07-22,SHORT,1.13975,1.14083,-10.8,1.5,-12.3,-0.1079,-12.3,-0.1107,loss
2026-07-22,2026-07-23,FLAT,1.14083,1.13723,-0.0,0.0,-0.0,-0.0,-12.3,-0.1107,flat
2026-07-23,2026-07-24,FLAT,1.13723,1.13696,-0.0,0.0,-0.0,-0.0,-12.3,-0.1107,flat
2026-07-24,2026-07-27,LONG,1.13696,1.13679,-1.7,1.5,-3.2,-0.0281,-15.5,-0.1388,loss
2026-07-27,2026-07-28,LONG,1.13679,1.139,22.1,1.5,20.6,0.1812,5.1,0.0424,win
2026-07-28,2026-07-29,LONG,1.139,1.14605,70.5,1.5,69.0,0.6058,74.1,0.6482,win
2026-07-29,2026-07-30,SHORT,1.14605,1.15212,-60.7,1.5,-62.2,-0.5427,11.9,0.1055,loss
2026-07-30,2026-07-31,FLAT,1.15212,1.15273,0.0,0.0,0.0,0.0,11.9,0.1055,flat
2026-07-31,2026-08-03,FLAT,1.15273,1.15086,-0.0,0.0,-0.0,-0.0,11.9,0.1055,flat
2026-08-03,2026-08-04,SHORT,1.15086,1.15269,-18.3,1.5,-19.8,-0.172,-7.9,-0.0665,loss
2026-08-04,2026-08-05,SHORT,1.15269,1.15493,-22.4,1.5,-23.9,-0.2073,-31.8,-0.2738,loss
2026-08-05,2026-08-06,LONG,1.15493,1.15195,-29.8,1.5,-31.3,-0.271,-63.1,-0.5448,loss
