block,model,bin_lo,bin_hi,count,frequency
validation,gaussian_calendar,0.0,0.05,18,0.020930232558139535
validation,gaussian_calendar,0.05,0.1,32,0.037209302325581395
validation,gaussian_calendar,0.1,0.15000000000000002,32,0.037209302325581395
validation,gaussian_calendar,0.15000000000000002,0.2,39,0.04534883720930233
validation,gaussian_calendar,0.2,0.25,36,0.04186046511627907
validation,gaussian_calendar,0.25,0.30000000000000004,40,0.046511627906976744
validation,gaussian_calendar,0.30000000000000004,0.35000000000000003,59,0.0686046511627907
validation,gaussian_calendar,0.35000000000000003,0.4,40,0.046511627906976744
validation,gaussian_calendar,0.4,0.45,58,0.06744186046511629
validation,gaussian_calendar,0.45,0.5,51,0.05930232558139535
validation,gaussian_calendar,0.5,0.55,67,0.07790697674418605
validation,gaussian_calendar,0.55,0.6000000000000001,70,0.08139534883720931
validation,gaussian_calendar,0.6000000000000001,0.65,64,0.07441860465116279
validation,gaussian_calendar,0.65,0.7000000000000001,53,0.06162790697674419
validation,gaussian_calendar,0.7000000000000001,0.75,50,0.05813953488372093
validation,gaussian_calendar,0.75,0.8,34,0.03953488372093023
validation,gaussian_calendar,0.8,0.8500000000000001,41,0.047674418604651166
validation,gaussian_calendar,0.8500000000000001,0.9,31,0.03604651162790698
validation,gaussian_calendar,0.9,0.9500000000000001,24,0.027906976744186046
validation,gaussian_calendar,0.9500000000000001,1.0,21,0.02441860465116279
validation,student_t_calendar,0.0,0.05,21,0.02441860465116279
validation,student_t_calendar,0.05,0.1,48,0.05581395348837209
validation,student_t_calendar,0.1,0.15000000000000002,48,0.05581395348837209
validation,student_t_calendar,0.15000000000000002,0.2,36,0.04186046511627907
validation,student_t_calendar,0.2,0.25,35,0.040697674418604654
validation,student_t_calendar,0.25,0.30000000000000004,54,0.06279069767441861
validation,student_t_calendar,0.30000000000000004,0.35000000000000003,39,0.04534883720930233
validation,student_t_calendar,0.35000000000000003,0.4,39,0.04534883720930233
validation,student_t_calendar,0.4,0.45,45,0.05232558139534884
validation,student_t_calendar,0.45,0.5,40,0.046511627906976744
validation,student_t_calendar,0.5,0.55,51,0.05930232558139535
validation,student_t_calendar,0.55,0.6000000000000001,59,0.0686046511627907
validation,student_t_calendar,0.6000000000000001,0.65,47,0.05465116279069768
validation,student_t_calendar,0.65,0.7000000000000001,56,0.06511627906976744
validation,student_t_calendar,0.7000000000000001,0.75,48,0.05581395348837209
validation,student_t_calendar,0.75,0.8,46,0.053488372093023255
validation,student_t_calendar,0.8,0.8500000000000001,34,0.03953488372093023
validation,student_t_calendar,0.8500000000000001,0.9,51,0.05930232558139535
validation,student_t_calendar,0.9,0.9500000000000001,36,0.04186046511627907
validation,student_t_calendar,0.9500000000000001,1.0,27,0.031395348837209305
validation,student_t_garch,0.0,0.05,41,0.047674418604651166
validation,student_t_garch,0.05,0.1,45,0.05232558139534884
validation,student_t_garch,0.1,0.15000000000000002,38,0.044186046511627906
validation,student_t_garch,0.15000000000000002,0.2,32,0.037209302325581395
validation,student_t_garch,0.2,0.25,39,0.04534883720930233
validation,student_t_garch,0.25,0.30000000000000004,47,0.05465116279069768
validation,student_t_garch,0.30000000000000004,0.35000000000000003,29,0.03372093023255814
validation,student_t_garch,0.35000000000000003,0.4,38,0.044186046511627906
validation,student_t_garch,0.4,0.45,44,0.05116279069767442
validation,student_t_garch,0.45,0.5,52,0.06046511627906977
validation,student_t_garch,0.5,0.55,85,0.09883720930232558
validation,student_t_garch,0.55,0.6000000000000001,51,0.05930232558139535
validation,student_t_garch,0.6000000000000001,0.65,43,0.05
validation,student_t_garch,0.65,0.7000000000000001,48,0.05581395348837209
validation,student_t_garch,0.7000000000000001,0.75,31,0.03604651162790698
validation,student_t_garch,0.75,0.8,42,0.04883720930232558
